trialNum,participantId,prevUserX,prevUserY,curCenterX,curCenterY,width,time,success
88,1,119,320,327.5,187.5,52,549,1
89,1,327,187,117.5,327.5,52,600,1
90,1,124,316,117.5,117.5,52,751,1
91,1,127,110,117.5,117.5,52,290,1
92,1,126,110,187.5,257.5,52,590,1
93,1,189,255,327.5,187.5,52,469,1
94,1,320,186,117.5,327.5,52,662,1
95,1,118,309,327.5,117.5,52,840,1
96,1,321,130,187.5,187.5,52,527,1
97,1,183,200,187.5,117.5,52,402,1
98,1,197,111,257.5,257.5,52,541,1
99,1,254,248,327.5,257.5,52,448,1
100,1,318,249,257.5,117.5,52,759,0
101,1,264,144,257.5,327.5,52,1281,1
102,1,259,324,187.5,187.5,52,761,1
103,1,189,189,257.5,117.5,52,740,1
104,1,261,127,117.5,257.5,52,650,1
105,1,122,258,187.5,327.5,52,501,1
106,1,186,330,327.5,187.5,52,590,1
107,1,323,185,117.5,257.5,52,549,1
108,1,116,253,117.5,257.5,52,351,1
109,1,116,253,327.5,327.5,52,808,1
110,1,318,325,117.5,327.5,52,820,1
111,1,119,320,327.5,257.5,52,699,1
112,1,322,251,117.5,257.5,52,792,1
113,1,124,260,187.5,117.5,52,790,1
114,1,194,115,117.5,117.5,52,500,1
115,1,125,121,257.5,117.5,52,531,1
116,1,245,119,257.5,187.5,52,408,1
117,1,249,191,187.5,257.5,52,430,1
118,1,189,256,257.5,327.5,52,570,1
119,1,254,320,187.5,187.5,52,619,1
120,1,182,177,327.5,327.5,52,600,1
121,1,317,328,187.5,327.5,52,530,1
122,1,185,315,257.5,117.5,52,581,1
123,1,270,115,327.5,257.5,52,542,1
124,1,322,256,187.5,117.5,52,580,1
125,1,186,117,257.5,257.5,52,598,1
126,1,252,249,187.5,257.5,52,400,1
127,1,183,248,257.5,257.5,52,570,1
128,1,266,259,257.5,257.5,52,270,1
129,1,266,259,327.5,257.5,52,472,1
130,1,319,259,327.5,327.5,52,548,1
131,1,319,322,187.5,187.5,52,642,1
132,1,185,189,257.5,257.5,52,480,1
133,1,251,257,117.5,117.5,52,640,1
134,1,122,126,257.5,187.5,52,478,1
135,1,261,196,117.5,187.5,52,549,1
136,1,108,175,257.5,117.5,52,870,1
137,1,261,118,257.5,257.5,52,492,1
138,1,269,248,327.5,117.5,52,851,1
139,1,328,128,187.5,257.5,52,509,1
140,1,184,263,117.5,187.5,52,430,1
141,1,123,190,257.5,117.5,52,481,1
142,1,255,113,187.5,257.5,52,568,1
143,1,183,246,327.5,117.5,52,552,1
144,1,327,112,327.5,117.5,52,288,1
145,1,327,112,187.5,257.5,52,571,1
146,1,184,250,257.5,187.5,52,440,1
147,1,260,183,327.5,187.5,52,449,1
148,1,330,187,327.5,257.5,52,531,1
149,1,326,257,327.5,327.5,52,451,1
150,1,320,324,117.5,187.5,52,640,1
151,1,117,177,257.5,187.5,52,598,1
152,1,265,186,327.5,257.5,52,861,1
153,1,320,255,257.5,327.5,52,488,1
154,1,262,317,187.5,257.5,52,422,1
155,1,181,258,187.5,117.5,52,520,1
156,1,195,105,187.5,187.5,52,430,1
157,1,188,179,187.5,257.5,52,480,1
158,1,189,258,327.5,187.5,52,501,1
159,1,332,194,187.5,327.5,52,798,1
1,2,117,320,327.5,257.5,52,621,1
2,2,330,243,327.5,187.5,52,501,1
